"Index","Open","High","Low","Close","Volume"
"1970-01-02",77.2,77.25,76.25,76.35,254
"1970-01-03",76.45,77.05,75.7,75.7,182
"1970-01-04",76.65,78.7,76.25,78.7,594
"1970-01-05",80.05,80.45,78.95,80.35,1029
"1970-01-06",78.45,78.45,77.35,77.35,972
"1970-01-07",75.45,75.75,74.45,74.5,693
"1970-01-08",74.45,75.35,74.45,74.45,373
"1970-01-09",74.2,74.8,74.2,74.65,273
"1970-01-10",75.15,75.15,74.75,75,165
"1970-01-11",74.8,75.35,74.8,75.15,173
"1970-01-12",75.45,76.3,75.4,76,382
"1970-01-13",75.9,77.75,75.9,77.65,316
"1970-01-14",77.15,77.15,75.8,76.2,219
"1970-01-15",76.05,76.35,76,76.3,103
"1970-01-16",75.95,76.2,75.5,76.05,152
"1970-01-17",75.3,75.85,75.1,75.55,107
"1970-01-18",75.35,76.55,75.35,76,129
"1970-01-19",76.45,76.7,76.2,76.55,53
"1970-01-20",76.55,76.55,76,76.3,35
"1970-01-21",76.85,76.85,76.45,76.55,48
"1970-01-22",76.6,77.25,76.5,77.25,169
"1970-01-23",77.45,77.8,77.25,77.75,182
"1970-01-24",78.3,78.65,78,78,186
"1970-01-25",78.35,78.7,78.35,78.65,381
"1970-01-26",78.3,78.6,78.05,78.5,102
"1970-01-27",78.3,78.65,78.3,78.55,85
"1970-01-28",78.85,79.2,78.2,78.25,87
"1970-01-29",78.3,78.3,77.65,77.9,52
"1970-01-30",77.9,78.45,77.8,78.45,38
"1970-01-31",78.5,78.7,78.05,78.15,32
"1970-02-01",78,78.9,78,78.9,132
"1970-02-02",79.2,79.6,78.95,79.05,121
"1970-02-03",78.5,79,78.35,78.7,20
"1970-02-04",78.8,78.8,78.6,78.6,38
"1970-02-05",78.75,78.75,78.4,78.5,124
"1970-02-06",78.65,78.65,77.75,77.75,42
"1970-02-07",77.6,77.95,77.35,77.4,127
"1970-02-08",77.8,77.8,77.25,77.55,48
"1970-02-09",77.7,78.15,77.7,77.9,40
"1970-02-10",77.6,77.8,77.25,77.4,56
"1970-02-11",77.2,77.2,76.6,76.6,135
"1970-02-12",76.5,76.7,76.25,76.5,246
"1970-02-13",76.35,76.35,76,76,164
"1970-02-14",75.85,76.55,75.85,76.55,90
"1970-02-15",76.9,77.35,76.8,77.2,154
"1970-02-16",77.45,77.5,76.85,76.85,60
"1970-02-17",76.95,77.5,76.95,77.35,84
"1970-02-18",77.4,77.4,77,77.05,128
"1970-02-19",77,77.55,77,77.5,139
"1970-02-20",77.75,77.85,77.55,77.55,109
"1970-02-21",77.4,78,77.15,77.15,191
"1970-02-22",77.15,77.15,76.85,76.85,31
"1970-02-23",76.7,76.85,76.7,76.7,23
"1970-02-24",76.75,77.05,76.75,76.95,34
"1970-02-25",76.95,77.05,76.75,76.75,36
"1970-02-26",76.65,76.65,76.1,76.15,91
"1970-02-27",76.1,76.15,75.45,75.55,176
"1970-02-28",75.6,75.95,75.6,75.7,102
"1970-03-01",75.85,76.1,75.85,76.1,30
"1970-03-02",76.1,76.7,76.1,76.65,55
"1970-03-03",76.7,76.9,76.2,76.4,82
"1970-03-04",76.35,76.35,75.55,75.8,83
"1970-03-05",75.45,76.25,75.4,76.2,41
"1970-03-06",76.05,76.05,75.05,75.05,106
"1970-03-07",75.15,75.3,75.05,75.05,55
"1970-03-08",75.2,75.2,74.45,74.45,127
"1970-03-09",74.35,74.9,74.35,74.55,40
"1970-03-10",74.15,74.15,73.25,73.35,167
"1970-03-11",73.45,73.75,73.35,73.35,130
"1970-03-12",73.55,74.05,73.55,73.75,18
"1970-03-13",73.65,73.8,73.65,73.8,15
"1970-03-14",73.95,73.95,73.35,73.35,92
"1970-03-15",73.35,73.75,73.3,73.65,60
"1970-03-16",73.95,74.4,73.85,73.85,34
"1970-03-17",74.05,74.05,73.7,73.7,33
"1970-03-18",73.45,73.6,73.3,73.35,26
"1970-03-19",73.55,74.45,73.55,74.2,48
"1970-03-20",73.85,74.3,73.75,73.95,32
"1970-03-21",74.05,74.05,73.2,73.3,72
"1970-03-22",73.85,73.85,73.55,73.55,44
"1970-03-23",73.3,73.65,73.3,73.5,49
"1970-03-24",73.4,73.6,73.2,73.2,59
"1970-03-25",73,73,71.8,71.85,259
"1970-03-26",72.05,72.25,71.95,72,89
"1970-03-27",72.25,72.3,71.5,71.75,137
"1970-03-28",71.65,72,71.65,71.65,52
"1970-03-29",71.65,71.65,71.25,71.5,135
"1970-03-30",71.8,72.45,71.8,72,105
"1970-03-31",72,72,71.8,71.8,12
"1970-04-01",71.6,71.6,71.3,71.45,73
"1970-04-02",71.5,71.8,71.4,71.5,68
"1970-04-03",71.8,72.3,71.6,71.6,108
"1970-04-04",71.7,72.3,71.7,71.95,36
"1970-04-05",72.1,72.25,72,72,30
"1970-04-06",71.85,71.85,71.5,71.6,61
"1970-04-07",71.65,71.9,71.65,71.75,90
"1970-04-08",71.2,71.3,71.05,71.25,64
"1970-04-09",71.05,71.2,70.8,70.85,52
"1970-04-10",70.9,71,70.5,70.55,131
"1970-04-11",70.55,70.65,70.5,70.5,45
"1970-04-12",70.8,71,70.7,70.9,28
"1970-04-13",71.2,71.85,71.2,71.6,42
"1970-04-14",71.75,71.75,71.3,71.3,25
"1970-04-15",71.55,71.75,71.55,71.6,33
"1970-04-16",71.7,71.7,70.85,70.85,33
"1970-04-17",69.75,69.75,69.15,69.3,163
"1970-04-18",70.2,70.2,68.8,68.8,98
"1970-04-19",69.25,69.5,69,69.05,66
"1970-04-20",69.4,69.6,69.15,69.15,45
"1970-04-21",69.05,69.15,67.5,67.6,99
"1970-04-22",67.75,67.75,67,67.1,88
"1970-04-23",67.1,67.4,67.1,67.3,12
"1970-04-24",67.3,67.7,67.3,67.45,22
"1970-04-25",67.3,67.45,66.7,66.7,24
"1970-04-26",66.6,67.25,66.6,66.9,38
"1970-04-27",67.3,67.5,67.2,67.2,14
"1970-04-28",67,67.3,66.25,66.25,9
"1970-04-29",66.45,66.45,63.75,63.75,32
"1970-04-30",64.8,64.8,64.5,64.75,22
"1970-05-01",64.75,64.8,64.7,64.75,35
"1970-05-02",64.75,64.9,64.75,64.75,10
"1970-05-03",64.8,65.05,64.8,64.9,16
"1970-05-04",65.05,65.6,65.05,65.5,33
"1970-05-05",65.6,65.6,65.15,65.2,42
"1970-05-06",65.05,65.35,64.9,65.35,49
"1970-05-07",64.95,65.25,64.95,65.15,20
"1970-05-08",65.3,66.15,65.25,66.15,27
"1970-05-09",66.1,67.1,66.1,66.8,90
"1970-05-10",66.7,67,66.45,67,39
"1970-05-11",67.45,68.1,66.2,66.2,129
"1970-05-12",65.6,66.55,65.6,66.3,78
"1970-05-13",66.3,67.1,66.3,66.8,45
"1970-05-14",66.9,66.9,66.3,66.3,20
"1970-05-15",66.2,66.2,65.35,65.5,31
"1970-05-16",65.25,65.35,64.95,65.3,63
"1970-05-17",64.95,65.3,64.8,64.8,86
"1970-05-18",65,65.5,64.9,64.9,23
"1970-05-19",65.35,65.7,64.85,64.85,18
"1970-05-20",64.85,65.2,64.8,64.85,20
"1970-05-21",65.1,66.5,65.1,65.7,29
"1970-05-22",66.2,66.4,66.1,66.1,18
"1970-05-23",66.2,66.4,66.2,66.2,3
"1970-05-24",66.2,66.45,66.2,66.2,14
"1970-05-25",66.2,66.2,65.7,65.7,25
